"V1","V2","V3","V4","Real_Time","V6","V7","V7.cor","Cond_mScm","seaPressure","practicalSalinity"
"e00fce680b66f0052c113d66","4/24/2025 11:00:06","c3po","cond",1745506803,24.48,0,262,0.262,0,0.125350833684248
"e00fce680b66f0052c113d66","4/24/2025 11:06:06","c3po","cond",1745507163,26.02,0,262,0.262,0,0.121397634425943
"e00fce680b66f0052c113d66","4/24/2025 11:12:05","c3po","cond",1745507522,25.71,0,262,0.262,0,0.122175927303272
"e00fce680b66f0052c113d66","4/24/2025 11:18:06","c3po","cond",1745507882,25.34,0,262,0.262,0,0.123116231104037
"e00fce680b66f0052c113d66","4/24/2025 11:24:06","c3po","cond",1745508242,25.67,0,262,0.262,0,0.122276981681934
"e00fce680b66f0052c113d66","4/24/2025 11:30:06","c3po","cond",1745508602,25.39,0,262,0.262,0,0.122988432336738
"e00fce680b66f0052c113d66","4/24/2025 11:36:06","c3po","cond",1745508963,25.39,0,262,0.262,0,0.122988432336738
"e00fce680b66f0052c113d66","4/24/2025 11:42:06","c3po","cond",1745509323,25.62,0,262,0.262,0,0.122403503302803
"e00fce680b66f0052c113d66","4/24/2025 11:48:09","c3po","cond",1745509683,25.64,0,262,0.262,0,0.122352867470681
"e00fce680b66f0052c113d66","4/24/2025 11:54:06","c3po","cond",1745510042,25.61,0,262,0.262,0,0.122428834823959
"e00fce680b66f0052c113d66","4/24/2025 12:00:06","c3po","cond",1745510402,25.28,0,262,0.262,0,0.123269893141441
"e00fce680b66f0052c113d66","4/24/2025 12:06:06","c3po","cond",1745510762,24.45,0,262,0.262,0,0.125430048222782
"e00fce680b66f0052c113d66","4/24/2025 12:12:06","c3po","cond",1745511123,25.04,0,262,0.262,0,0.123887871298567
"e00fce680b66f0052c113d66","4/24/2025 12:18:06","c3po","cond",1745511483,24.6,0,262,0.262,0,0.125034837524371
"e00fce680b66f0052c113d66","4/24/2025 12:24:06","c3po","cond",1745511843,25.15,0,262,0.262,0,0.123603967886299
"e00fce680b66f0052c113d66","4/24/2025 12:30:06","c3po","cond",1745512202,25.42,0,262,0.262,0,0.122911863195291
"e00fce680b66f0052c113d66","4/24/2025 12:36:06","c3po","cond",1745512562,25.41,0,262,0.262,0,0.122937377076289
"e00fce680b66f0052c113d66","4/24/2025 12:42:06","c3po","cond",1745512922,25.81,0,262,0.262,0,0.12192392298308
"e00fce680b66f0052c113d66","4/24/2025 12:48:06","c3po","cond",1745513283,25.05,0,262,0.262,0,0.123862015330129
"e00fce680b66f0052c113d66","4/24/2025 12:54:06","c3po","cond",1745513643,25.07,0,262,0.262,0,0.123810331370091
"e00fce680b66f0052c113d66","4/24/2025 13:00:06","c3po","cond",1745514003,24.87,0,262,0.262,0,0.124328854247425
